"Date","Transaction","Name","Memo","Amount"
"2025-05-01","DEBIT","GOOGLE *YouTubePremium g.co/helppay# CA","24692165120100434726557; 04899; ; ; ;","-15.32"
"2025-05-01","DEBIT","AMAZON RETA* NB49L6SI2 WWW.AMAZON.CO WA","24011345120100074648220; 05331; ; ; ;","-38.45"
"2025-05-01","DEBIT","APPLE.COM/BILL         866-712-7753  CA","24430995120323143382499; 05818; ; ; ;","-9.99"
"2025-05-01","DEBIT","TARGET.COM  *          800-591-3869  MN","24431065120197348583981; 05310; ; ; ;","-26.65"
"2025-05-01","DEBIT","KROGER FUEL #9588      SPRING HILL   TN","24445005120300449569335; 05542; ; ; ;","-23.71"
"2025-05-01","DEBIT","WHITS FROZEN CUSTARD   423-3222819   TN","24540455121010601715663; 05812; ; ; ;","-22.06"
"2025-05-01","DEBIT","TARGET        00023622 SPRING HILL   TN","24164075120091007826140; 05411; ; ; ;","-121.94"
"2025-05-02","DEBIT","TARGET.COM             800-591-3869  MN","24431065122198217151387; 05310; ; ; ;","-85.86"
"2025-05-02","DEBIT","WALGREENS #10372       KISSIMMEE     FL","24445005122000795677496; 05912; ; ; ;","-14.99"
"2025-05-05","DEBIT","CIRCLE K # 06532       ORLANDO       FL","24692165125102111979074; 05542; ; ; ;","-46.76"
"2025-05-05","DEBIT","WAWA 5116              KISSIMMEE     FL","24055245125328289776650; 05541; ; ; ;","-3.99"
"2025-05-05","DEBIT","SEAWORLD-FOOD SVC      ORLANDO       FL","24941685124142124467680; 05814; ; ; ;","-91.63"
"2025-05-05","DEBIT","SEAWORLD-FOOD SVC      ORLANDO       FL","24941685124142124442477; 05814; ; ; ;","-22.63"
"2025-05-05","DEBIT","SEAWORLD-FOOD SVC      ORLANDO       FL","24941685124142124429375; 05814; ; ; ;","-56.27"
"2025-05-05","DEBIT","KROGER                 866-576-4377  OH","24445005124100261029616; 05411; ; ; ;","-40.74"
"2025-05-05","DEBIT","VOLCANO HOT  POT & BBQ KISSIMMEE     FL","24765015123326922197839; 05812; ; ; ;","-98.74"
"2025-05-05","DEBIT","4TE*PREVENTIA SECURITY COLUMBIA      TN","24445005122200166305251; 07393; ; ; ;","-164.85"
"2025-05-05","DEBIT","PAO GOSTOSO BAKERY ORL ORLANDO       FL","24239005122900013203217; 05462; ; ; ;","-18.98"
"2025-05-05","DEBIT","SHELL OIL 10047042006  LIVE OAK      FL","24316055122325227796981; 05542; ; ; ;","-21.44"
"2025-05-06","CREDIT","INTERNET PAYMENT THANK YOU","INTERNET; ; ; ; ;","2000.00"
"2025-05-06","DEBIT","APPLE.COM/BILL         866-712-7753  CA","24692165125102304404898; 05818; ; ; ;","-20.84"
"2025-05-06","DEBIT","TARGET.COM  *          800-591-3869  MN","24431065126200781500001; 05310; ; ; ;","-125.91"
"2025-05-06","DEBIT","WDW GLOW MERCH         LAKE BUENA VI FL","24943005125200502251114; 05947; ; ; ;","-4.24"
"2025-05-06","DEBIT","WDW PINOCCHIO HAUS     LAKE BUENA VI FL","24943005125200501388412; 05814; ; ; ;","-42.34"
"2025-05-06","DEBIT","WDW LIBERTY SQUARE     LAKE BUENA VI FL","24943005125200501323591; 05814; ; ; ;","-18.62"
"2025-05-06","DEBIT","WDW CASEY'S CORNER     LAKE BUENA VI FL","24943005125200501111657; 05814; ; ; ;","-5.95"
"2025-05-06","DEBIT","BARROS SUPERMARKET     KISSIMMEE     FL","24239005125900014800059; 05411; ; ; ;","-8.06"
"2025-05-06","DEBIT","BARROS SUPERMARKET     KISSIMMEE     FL","24054495125030043186984; 05411; ; ; ;","-20.39"
"2025-05-07","DEBIT","Thales IFEC            Irvine        CA","24793385127000469589042; 04816; ; ; ;","-7.99"
"2025-05-07","DEBIT","THRIFT LOVE            COLUMBIA      TN","24116415126330119645340; 05931; ; ; ;","-33.48"
"2025-05-07","DEBIT","TARGET        00023622 SPRING HILL   TN","24164075126091008103188; 05411; ; ; ;","-121.93"
"2025-05-07","DEBIT","WHITS FROZEN CUSTARD   423-3222819   TN","24540455127010601619968; 05812; ; ; ;","-22.06"
"2025-05-08","DEBIT","CULVERS OF SPRING HILL SPRING HILL   TN","24943005128202266921822; 05814; ; ; ;","-12.60"
"2025-05-08","DEBIT","SLIM & HUSKIES         303-3429000   TN","24540455128015500357882; 05814; ; ; ;","-25.24"
"2025-05-08","DEBIT","TST*MARTINS BAR-B-QUE  Spring Hill   TN","24692165127104045016807; 05812; ; ; ;","-27.62"
"2025-05-08","DEBIT","SPIRIT AI4870433430169 800-7727117   FL","24717055127871274645589; 03260; ; BRAGA/W; 2025-05-09 ORLANDO FLA TO NASHVILLE ;","-165.99"
"2025-05-08","DEBIT","SOUTHWES 5262342200927 800-435-9792  TX","24692165127104487988026; 03066; ; BRAGA/WESLLEY MA; 2025-05-07 NASHVILLE TO ORLANDO FLA ;","-385.48"
"2025-05-09","DEBIT","Netflix.com            408-5403700   CA","24204295128001717977024; 04899; ; ; ;","-29.54"
